pl_name,mass,radius,orbital_period,tsm,observation_type,reference,molecules
HD 73583 b,0.0321,0.2489,6.398042,114.7885,"""G-B: High resolution IR""",2110.13150,"""{""He"":""Detection""}"""
HD 73583 c,0.0302,0.2436,18.8805,78.5501,"""G-B: High resolution visible""",2404.16732,"""{""H"":""Upper limit""}"""
HD 73583 c,0.0302,0.2436,18.8805,78.5501,"""G-B: High resolution IR""",2404.16732,"""{""He"":""Upper limit""}"""
HD 80606 b,4.1641,1.032,111.436765,15.9902,"""JWST-NIRSpec""",2407.12456,"""{""CO"":""Detection"" ""CH4"":""Detection""}"""
HD 85628 A b,3.1,1.53,2.82406,,"""G-B: High resolution visible""",2304.04948,"""{""Rb"":""Detection"" ""Sm"":""Detection"" ""Ti+"":""Detection"" ""Ba+"":""Detection"" ""Mg"":""Detection"" ""Ca"":""Detection"" ""Cr"":""Detection"" ""Fe"":""Detection""}"""
HD 85628 A b,3.1,1.53,2.82406,,"""G-B: High resolution visible""",2208.11427,"""{""H"":""Detection"" ""Na"":""Detection"" ""Ca+"":""Detection"" ""Mg"":""Detection"" ""Fe"":""Detection"" ""Fe+"":""Detection"" ""Ca"":""Detection"" ""Cr"":""Detection""}"""
HD 89345 b,0.1123,0.612,11.81399,95.8641,"""G-B: High resolution IR""",2307.00967,"""{""He"":""Upper limit""}"""
HD 97658 b,0.02457,0.20047,9.489295,159.337,"""G-B:Low resolution IR""","""2020AJ....160..258K""","""{""He"":""No detection""}"""
HIP 41378 f,0.30133505733569,0.91,324.0,,"""HST WFC3""",2201.02686,"""{""Featureless spectra"":""Detection""}"""
HIP 65426 b,7.1,1.5,,51.9029,"""G-B:Low resolution IR""",2310.00148,"""{""Molecular ratios: C/O etc..."":""Detection""}"""
HIP 65A b,3.213,2.03,0.9809734,,"""G-B: High resolution IR""",2403.07983,"""{""H2O"":""Detection"" ""CO"":""Detection"" ""Molecular ratios: C\/O etc..."":""Detection""}"""
HIP 65A b,3.213,2.03,0.9809734,,"""TESS""","""2020AJ....160..155W""","""[]"""
HIP 67522 b,5.0,0.8984,6.959503,8.7126,"""JWST-NIRSpec""",2409.16355,"""{""CO2"":""Detection"" ""H2O"":""Detection"" ""CO"":""Detection"" ""H2S"":""Detection"" ""Molecular ratios: C\/O etc..."":""Detection""}"""
HIP 94235 b,1.192,0.2862,7.712121,3.6703,"""HST STIS""",2408.02170,"""{""H"":""Upper limit""}"""
HR 8799 b,7.0,1.2,164250.0,,"""G-B:Low resolution IR""",2404.03776,"""{""Cloudy"":""Detection"" ""Molecular ratios: C\/O etc..."":""Detection""}"""
HR 8799 b,7.0,1.2,164250.0,,"""Direct Detection""",2107.06949,"""{""H2O"":""Detection"" ""CO"":""Detection""}"""
HR 8799 b,7.0,1.2,164250.0,,"""G-B:Low resolution IR""",2109.07614,"""{""H2O"":""Detection"" ""CO"":""Detection"" ""CH4"":""Upper limit""}"""
HR 8799 b,7.0,1.2,164250.0,,"""G-B: High resolution IR""",1303.2627,"""{""NH3"":""Detection"" ""H2C2"":""Detection"" ""CO2"":""Detection""}"""
HR 8799 c,8.3,1.3,82145.0,,"""G-B:Low resolution IR""",2209.15484,"""{""C"":""Upper limit""}"""
HR 8799 c,8.3,1.3,82145.0,,"""G-B:Low resolution IR""",2404.03776,"""{""Molecular ratios: C\/O etc..."":""Detection"" ""Cloudy"":""Detection"" ""HCN"":""Detection"" ""CH4"":""Detection""}"""
HR 8799 c,8.3,1.3,82145.0,,"""G-B:Low resolution IR""",2109.07614,"""{""CH4"":""Detection"" ""H2O"":""Detection""}"""
HR 8799 c,8.3,1.3,82145.0,,"""G-B: High resolution IR""",1303.2627,"""{""CH4"":""No detection"" ""CO2"":""No detection"" ""H2C2"":""Upper limit"" ""NH3"":""Detection""}"""
HR 8799 c,8.3,1.3,82145.0,,"""G-B:Low resolution IR""",2109.07614,"""{""CO"":""Detection""}"""
HR 8799 d,8.3,1.2,41054.0,,"""G-B:Low resolution IR""",2404.03776,"""{""Cloudy"":""Detection"" ""Molecular ratios: C\/O etc..."":""Detection""}"""
HR 8799 d,8.3,1.2,41054.0,,"""G-B:Low resolution IR""",2109.07614,"""{""CH4"":""Detection"" ""H2O"":""Detection""}"""
HR 8799 d,8.3,1.2,41054.0,,"""G-B: High resolution IR""",1303.2627,"""{""CH4"":""Detection"" ""CO2"":""Detection"" ""H2C2"":""Detection"" ""NH3"":""Upper limit""}"""
HR 8799 e,9.6,1.17,18000.0,36.3412,"""G-B:Low resolution IR""",2404.03776,"""{""Molecular ratios: C\/O etc..."":""Detection"" ""Cloudy"":""Detection"" ""HCN"":""Detection""}"""
HR 8799 e,9.6,1.17,18000.0,36.3412,"""G-B: High resolution IR""",2107.06949,"""{""CO"":""Detection"" ""H2O"":""Detection""}"""
HR 8799 e,9.6,1.17,18000.0,36.3412,"""G-B: High resolution IR""",1303.2627,"""{""H2C2"":""Detection"" ""CO"":""No detection"" ""CH4"":""Detection"" ""NH3"":""No detection""}"""
K2-100 b,0.06859,0.32,1.673833,40.6557,"""G-B: High resolution IR""","""2020MNRAS.495..650G""","""{""He"":""Upper limit""}"""
K2-100 b,0.06859,0.32,1.673833,40.6557,"""G-B: High resolution visible""",2404.16732,"""{""H"":""Upper limit""}"""
K2-100 b,0.06859,0.32,1.673833,40.6557,"""G-B: High resolution IR""",2404.16732,"""{""He"":""Upper limit""}"""
K2-100 b,0.06859,0.32,1.673833,40.6557,"""G-B:Low resolution IR""",2405.17294,"""{""He"":""Upper limit""}"""
K2-105 b,0.094,0.301,8.267704,12.5783,"""G-B: High resolution IR""",2307.00967,"""{""He"":""Upper limit""}"""
K2-136 c,0.035820693119399,0.26,17.307137,41.0769,"""G-B: High resolution IR""","""2021RNAAS...5..238G""","""{""He"":""Upper limit""}"""
K2-139 b,0.381,0.813,28.380619,44.7209,"""G-B: High resolution visible""",2406.08558,"""{""H2O"":""Upper limit""}"""
K2-141 b,0.01598,0.135,0.2803244,57.4405,"""Spitzer""",2203.00370,"""[]"""
K2-18 b,0.02807,0.211,32.939623,35.1258,"""HST WFC3""","""2019NatAs...3.1086T""","""{""H2O"":""Detection""}"""
K2-18 b,0.02807,0.211,32.939623,35.1258,"""HST WFC3""","""2019ApJ...887L..14B""","""{""H2O"":""Detection""}"""
K2-18 b,0.02807,0.211,32.939623,35.1258,"""HST WFC3""",2011.10424,"""{""CH4"":""Detection""}"""
K2-18 b,0.02807,0.211,32.939623,35.1258,"""G-B: High resolution IR""",2403.18891,"""{""CH4"":""Upper limit"" ""NH3"":""Upper limit""}"""
K2-18 b,0.02807,0.211,32.939623,35.1258,"""JWST-NIRISS""",2309.05566,"""{""CH4"":""Detection"" ""CO2"":""Detection"" ""NH3"":""No detection""}"""
K2-25 b,0.0771,0.306,3.484552,47.4377,"""HST STIS""",2109.04376,"""{""H"":""Upper limit""}"""
K2-25 b,0.0771,0.306,3.484552,47.4377,"""G-B: High resolution IR""","""2020MNRAS.498L.119G""","""{""He"":""Upper limit""}"""
K2-25 b,0.0771,0.306,3.484552,47.4377,"""G-B: High resolution IR""",2406.09225,"""{""He"":""Upper limit""}"""
K2-33 b,3.7,0.45,5.424865,0.5932,"""G-B:Low resolution IR""",2211.07728,"""{""Cloudy"":""Detection""}"""
K2-33 b,3.7,0.45,5.424865,0.5932,"""G-B: High resolution IR""",2404.07262,"""{""He"":""Upper limit""}"""
K2-77 b,1.9,0.205,8.199796,,"""G-B: High resolution visible""",2404.16732,"""{""H"":""Upper limit""}"""
K2-77 b,1.9,0.205,8.199796,,"""G-B: High resolution IR""",2404.16732,"""{""He"":""Upper limit""}"""
KELT-1 b,27.23,1.15,1.217514,3.6811,"""TESS""",2106.02610,"""[]"""
KELT-1 b,27.23,1.15,1.217514,3.6811,"""TESS""","""2020AJ....160..211B""","""[]"""
KELT-1 b,27.23,1.15,1.217514,3.6811,"""TESS""",2302.04535,"""[]"""
KELT-1 b,27.23,1.15,1.217514,3.6811,"""Spitzer""",2408.13308,"""[]"""
KELT-1 b,27.23,1.15,1.217514,3.6811,"""TESS""",2209.03890,"""[]"""
KELT-1 b,27.23,1.15,1.217514,3.6811,"""HST WFC3""",2204.11729,"""{""FeH"":""Detection"" ""CH4"":""Detection""}"""
KELT-10 b,0.679,1.399,4.166285,222.4655,"""G-B: High resolution visible""",2303.05857,"""{""Na"":""Upper limit"" ""H"":""Upper limit""}"""
KELT-11 b,0.195,1.3,4.736529,629.7373,"""G-B: High resolution visible""","""2019AJ....158..120Z""","""{""Na"":""Upper limit""}"""
KELT-11 b,0.195,1.3,4.736529,629.7373,"""HST WFC3""",2010.01310,"""{""H2O"":""Detection""}"""
KELT-11 b,0.195,1.3,4.736529,629.7373,"""G-B: High resolution visible""",2209.00597,"""{""Na"":""Detection""}"""
KELT-16 b,2.75,1.415,0.9689951,45.3059,"""TESS""",2106.02610,"""[]"""
KELT-16 b,2.75,1.415,0.9689951,45.3059,"""Spitzer""",2408.13308,"""[]"""
KELT-16 b,2.75,1.415,0.9689951,45.3059,"""G-B: Low resolution visible""",2105.00889,"""[]"""
KELT-16 b,2.75,1.415,0.9689951,45.3059,"""TESS""",2105.00889,"""[]"""
KELT-2 A b,1.486,1.306,4.1137914,112.7559,"""G-B: High resolution IR""","""2018AJ....156..133P""","""{""Molecular ratios: C\/O etc..."":""Detection"" ""H2O"":""Detection""}"""
KELT-3 b,1.418,1.333,2.7033902,113.6839,"""G-B: High resolution visible""",1612.05945,"""{""H"":""No detection""}"""
KELT-7 b,1.24,1.293,2.734784,171.3981,"""G-B: High resolution visible""",2206.11548,"""{""Ca+"":""Upper limit"" ""Na"":""Upper limit"" ""H"":""Upper limit"" ""Li"":""Upper limit"" ""Mg"":""Upper limit""}"""
KELT-7 b,1.24,1.293,2.734784,171.3981,"""HST WFC3""",2204.11729,"""{""H2O"":""Detection"" ""H-"":""Detection""}"""
KELT-7 b,1.24,1.293,2.734784,171.3981,"""G-B: High resolution visible""",2412.04330,"""{""Na"":""Upper limit""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2209.11735,"""{""Fe"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""HST WFC3""",2211.10297,"""{""H-"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2108.08389,"""{""Fe"":""Detection"" ""TiO"":""Upper limit""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution IR""",1812.03119,"""{""He"":""Upper limit""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2301.10406,"""{""Fe"":""Detection"" ""Fe+"":""Detection"" ""Mg"":""Detection"" ""H"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2112.12059,"""{""O"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2304.03248,"""{""Si"":""Detection"" ""Mg+"":""Detection"" ""Ca"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2304.04285,"""{""H"":""Detection"" ""Na"":""Detection"" ""Mg"":""Detection"" ""Ca+"":""Detection"" ""Sc+"":""Detection"" ""Ti+"":""Detection"" ""Cr+"":""Detection"" ""Fe"":""Detection"" ""Fe+"":""Detection"" ""Ca"":""Detection"" ""Cr"":""Detection"" ""Ni"":""Detection"" ""Sr+"":""Detection"" ""Tb+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2201.08759,"""{""Fe+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""","""2019A&A...627A.165H""","""{""Na"":""Detection"" ""Cr+"":""Detection"" ""Sc+"":""Detection"" ""Y+"":""Detection"" ""Mg"":""Detection"" ""Fe"":""Detection"" ""Fe+"":""Detection"" ""Ti+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2203.04969,"""{""Fe+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution IR""",1911.00380,"""{""Ca+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2201.04154,"""{""Fe+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""","""2020A&A...638A..87W""","""{""H"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""","""2018Natur.560..453H""","""{""Fe"":""Detection"" ""Fe+"":""Detection"" ""Ti+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""","""2018NatAs...2..714Y""","""{""H"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2308.05149,"""{""Ti+"":""Detection"" ""Fe"":""Detection"" ""Fe+"":""Detection"" ""Na"":""Detection"" ""Mg"":""Detection"" ""Na+"":""Detection"" ""Sc+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""Spitzer""",2408.13308,"""[]"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution IR""",2209.01854,"""{""H"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2409.01779,"""{""H"":""Detection"" ""Na"":""Detection"" ""Ca"":""Detection"" ""Ca+"":""Detection"" ""Fe"":""Detection"" ""Fe+"":""Detection"" ""Mg"":""Detection"" ""Ti"":""Detection"" ""Sc"":""Detection"" ""Cr"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: Low resolution visible""",2408.15698,"""{""TiO"":""Upper limit"" ""VO"":""Upper limit""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""HST WFC3""",2204.11729,"""{""TiO"":""Detection"" ""VO"":""Detection"" ""FeH"":""Detection"" ""H-"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2410.11731,"""{""Fe+"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2205.01623,"""{""Na"":""Detection""}"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""Spitzer""","""2020ApJ...888L..15M""","""[]"""
KELT-9 b,2.88,1.84,1.4811235,249.5927,"""G-B: High resolution visible""",2412.04330,"""{""Na"":""Detection""}"""
Kepler-25 c,0.0479,0.465,12.7207,72.3301,"""G-B: High resolution IR""",2307.00967,"""{""He"":""Upper limit""}"""
Kepler-5 b,2.111,1.426,3.5484657,14.4013,"""Spitzer""","""2011ApJS..197...11D""","""{""CO"":""Theoretical prediction""}"""
Kepler-51 b,0.007,0.633,45.154,219.5105,"""HST WFC3""",1910.12988,"""{""Featureless spectra"":""Detection""}"""
Kepler-51 d,0.024,0.865,130.194,114.6316,"""HST WFC3""",1910.12988,"""{""Featureless spectra"":""Detection""}"""
Kepler-6 b,0.668,1.304,3.2346996,50.7432,"""Spitzer""","""2011ApJS..197...11D""","""[]"""
Kepler-62 e,0.113,0.144,122.3874,0.3433,"""G-B: Low resolution visible""","""2013ApJ...775L..47K""","""{""O3"":""Theoretical prediction"" ""H2O"":""Theoretical prediction"" ""O2"":""Theoretical prediction"" ""CO2"":""Theoretical prediction""}"""
Kepler-68 b,0.02407,0.206,5.3988,26.9999,"""G-B: High resolution IR""",2307.00967,"""{""He"":""Upper limit""}"""
KOI-13 b,9.28,1.512,1.763588,21.9958,"""TESS""",2106.02610,"""[]"""
KOI-13 b,9.28,1.512,1.763588,21.9958,"""HST WFC3""","""2017AJ....154..158B""","""[]"""
KOI-13 b,9.28,1.512,1.763588,21.9958,"""HST WFC3""",2204.11729,"""{""H2O"":""Detection""}"""
L 168-9 b,0.0145,0.124,1.4015,6.4616,"""JWST-MIRI""",2211.16123,"""{""Featureless spectra"":""Detection""}"""
L 168-9 b,0.0145,0.124,1.4015,6.4616,"""JWST-NIRSpec""",2411.03154,"""{""Featureless spectra"":""Detection""}"""
L 98-59 b,0.0013,0.0758,2.2531136,53.9759,"""HST WFC3""",2210.10008,"""{""Featureless spectra"":""Detection""}"""
L 98-59 b,0.0013,0.0758,2.2531136,53.9759,"""HST WFC3""",2210.10699,"""{""Featureless spectra"":""Detection""}"""
L 98-59 b,0.0013,0.0758,2.2531136,53.9759,"""JWST-NIRSpec""",2409.07552,"""{""Featureless spectra"":""Detection""}"""
L 98-59 c,0.00698,0.12356,3.6906777,38.4035,"""HST WFC3""",2212.09526,"""{""Featureless spectra"":""Detection""}"""
L 98-59 c,0.00698,0.12356,3.6906777,38.4035,"""HST WFC3""",2301.10866,"""{""Featureless spectra"":""Detection""}"""
L 98-59 d,0.0061,0.1357,7.4507245,290.3941,"""HST WFC3""",2212.09526,"""{""Featureless spectra"":""Detection""}"""
L 98-59 d,0.0061,0.1357,7.4507245,290.3941,"""JWST-NIRSpec""",2408.15855,"""{""SO2"":""Detection"" ""H2S"":""Detection""}"""
L 98-59 d,0.0061,0.1357,7.4507245,290.3941,"""JWST-NIRSpec""",2408.15707,"""{""H2S"":""Detection"" ""SO2"":""Detection""}"""
LHS 1140 b,0.02196,0.15407,24.736,73.7385,"""HST WFC3""","""2021AJ....161...44E""","""{""H2O"":""Detection""}"""
LHS 1140 b,0.02196,0.15407,24.736,73.7385,"""HST WFC3""",2403.20285,"""{""H2O"":""Upper limit""}"""
LHS 1140 b,0.02196,0.15407,24.736,73.7385,"""JWST-NIRISS""",2406.15136,"""{""Featureless spectra"":""Detection""}"""
LHS 1140 b,0.02196,0.15407,24.736,73.7385,"""JWST-NIRSpec""",2403.13265,"""{""Featureless spectra"":""Detection""}"""
LHS 1478 b,0.00733,0.1106,1.9495378,18.1996,"""JWST-MIRI""",2410.11048,"""[]"""
LHS 3844 b,0.0093245157590364,0.1178,0.46292792,32.4889,"""Spitzer""",2310.01725,"""[]"""
LHS 3844 b,0.0093245157590364,0.1178,0.46292792,32.4889,"""G-B: Low resolution visible""","""2020AJ....160..188D""","""[]"""
LTT 1445A b,0.00903,0.11643,5.3587657,,"""G-B: Low resolution visible""","""2023AJ....165..169D""","""{""Featureless spectra"":""Detection""}"""
LTT 1445A b,0.00903,0.11643,5.3587657,,"""G-B: Low resolution visible""",2210.11809,"""{""Featureless spectra"":""Detection""}"""
LTT 1445A b,0.00903,0.11643,5.3587657,,"""JWST-MIRI""",2410.10987,"""[]"""
LTT 1445A b,0.00903,0.11643,5.3587657,,"""HST WFC3""",2410.11054,"""{""Featureless spectra"":""Detection""}"""
LTT 3780 c,0.0267,0.205,12.252048,71.656,"""G-B: High resolution IR""",2403.18891,"""{""NH3"":""No detection"" ""CH4"":""Upper limit""}"""
LTT 9779 b,0.09225,0.4211,0.792052,198.9032,"""HST WFC3""",2306.13645,"""{""FeH"":""Detection"" ""CO2"":""Detection"" ""H2O"":""Detection"" ""He"":""Upper limit""}"""
LTT 9779 b,0.09225,0.4211,0.792052,198.9032,"""Spitzer""",2010.12745,"""[]"""
LTT 9779 b,0.09225,0.4211,0.792052,198.9032,"""JWST-NIRISS""",2401.15548,"""{""Featureless spectra"":""Detection""}"""
LTT 9779 b,0.09225,0.4211,0.792052,198.9032,"""G-B: High resolution IR""",2401.16474,"""{""He"":""No detection""}"""
MASCARA-1 b,3.7,1.5,2.14878,73.7844,"""G-B: High resolution IR""",2404.18788,"""{""Fe"":""Detection"" ""Ti"":""Detection""}"""
MASCARA-1 b,3.7,1.5,2.14878,73.7844,"""G-B: High resolution visible""",2304.03328,"""{""Fe"":""Detection"" ""Cr"":""Detection"" ""Ti"":""Detection""}"""
MASCARA-1 b,3.7,1.5,2.14878,73.7844,"""G-B: High resolution visible""",2206.09443,"""{""Featureless spectra"":""Detection""}"""
MASCARA-1 b,3.7,1.5,2.14878,73.7844,"""G-B: High resolution IR""",2206.10621,"""{""H2O"":""Detection"" ""CO"":""Detection""}"""
MASCARA-1 b,3.7,1.5,2.14878,73.7844,"""G-B: High resolution IR""",2308.07157,"""{""Molecular ratios: C/O etc..."":""Detection"" ""Fe"":""Detection"" ""H2O"":""Detection"" ""CO"":""Detection""}"""
MASCARA-1 b,3.7,1.5,2.14878,73.7844,"""Spitzer""",2408.13308,"""[]"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2412.04330,"""{""Na"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""TESS""",2106.02610,"""[]"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""TESS""","""2022ApJ...925L...3F""","""{""CO"":""Detection"" ""H2O"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2023A&A...676A..99F""","""{""H"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution IR""",2404.16732,"""{""He"":""Upper limit""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution IR""",2112.10461,"""{""Si"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""HST WFC3""",2201.02261,"""{""H2O"":""Detection"" ""CO"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2020A&A...641A.120H""","""{""Fe"":""Detection"" ""Fe+"":""Detection"" ""Na"":""Detection"" ""Mg"":""Detection"" ""Cr+"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2203.04969,"""{""Fe+"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2018A&A...616A.151C""","""{""H"":""Detection"" ""Na"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2020A&A...638A..26S""","""{""Fe"":""Detection"" ""Fe+"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2204.04948,"""{""Fe"":""Detection"" ""Fe+"":""Detection"" ""Cr"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2205.12162,"""{""Fe+"":""No detection"" ""Cr"":""No detection"" ""Fe"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2020MNRAS.496..504N""","""{""Fe"":""Detection"" ""Fe+"":""Detection"" ""Ca+"":""Detection"" ""Na"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2019A&A...628A...9C""","""{""H"":""Detection"" ""Na"":""Detection"" ""Ca+"":""Detection"" ""Fe+"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""","""2022A&A...659A...7Y""","""{""Fe"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2208.04759,"""{""Fe+"":""Detection"" ""Ni+"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""Spitzer""",2408.13308,"""[]"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2310.09352,"""{""Fe"":""Detection"" ""Ni"":""Detection"" ""Cr"":""No detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""CHEOPS""",2311.03264,"""[]"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution IR""","""2020AJ....160..228K""","""{""FeH"":""Upper limit""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2410.11731,"""{""Fe+"":""Detection""}"""
MASCARA-2 b/KELT-20 b,3.518,1.83,3.4741085,,"""G-B: High resolution visible""",2205.01623,"""{""Na"":""Detection""}"""
NGTS-5 b,0.229,1.136,3.3569866,214.0157,"""G-B:Low resolution IR""",2204.11865,"""{""He"":""Upper limit""}"""
NLTT 5306 b,56.0,23.043886752891,1.698,2349003.5273,"""HST WFC3""",2303.07420,"""[]"""
PDS 70 b,7.0,2.720,45108.0,136.1733,"""G-B: High resolution IR""",2411.15117,"""{""CO"":""Detection"" ""H2O"":""Detection"" ""Molecular ratios: C\/O etc..."":""Detection""}"""
PDS 70 b,7.0,2.720,45108.0,136.1733,"""G-B:Low resolution IR""",2106.03615,"""{""CO"":""Upper limit"" ""H2O"":""Upper limit"" ""CH4"":""Upper limit""}"""
pi Men c,0.01142,0.16719,6.267852,229.5163,"""HST STIS""","""2021ApJ...907L..36G""","""{""C+"":""Detection""}"""
pi Men c,0.01142,0.16719,6.267852,229.5163,"""HST STIS""","""2020ApJ...888L..21G""","""{""H"":""No detection""}"""
Qatar-1 b,1.294,1.143,1.42002504,81.4418,"""G-B: Low resolution visible""",2305.19441,"""{""Featureless spectra"":""Detection""}"""
Qatar-1 b,1.294,1.143,1.42002504,81.4418,"""Spitzer""",2408.13308,"""[]"""
Qatar-1 b,1.294,1.143,1.42002504,81.4418,"""Spitzer""",2004.00014,"""[]"""
Qatar-1 b,1.294,1.143,1.42002504,81.4418,"""Spitzer""",2203.15059,"""[]"""
Qatar-2 b,2.494,1.254,1.33711647,47.6875,"""Spitzer""",2408.13308,"""[]"""
Qatar-2 b,2.494,1.254,1.33711647,47.6875,"""Spitzer""",2203.15059,"""[]"""
tau Boo A b,5.84,1.06,3.31249,,"""G-B: High resolution IR""",2009.05821,"""{""He"":""Upper limit""}"""
tau Boo A b,5.84,1.06,3.31249,,"""G-B: High resolution IR""",2205.14975,"""{""H2O"":""Detection""}"""
tau Boo A b,5.84,1.06,3.31249,,"""G-B: High resolution IR""","""2012Natur.486..502B""","""{""CO"":""Detection""}"""
tau Boo A b,5.84,1.06,3.31249,,"""G-B: High resolution IR""","""2014ApJ...783L..29L""","""{""H2O"":""Detection""}"""
tau Boo A b,5.84,1.06,3.31249,,"""G-B: High resolution IR""",2410.08178,"""{""CO"":""Detection"" ""H2O"":""Upper limit"" ""Molecular ratios: C\/O etc..."":""Detection""}"""
tau Boo A b,5.84,1.06,3.31249,,"""G-B: High resolution IR""",2105.10513,"""{""CO"":""Detection"" ""H2O"":""Upper limit"" ""CH4"":""Upper limit"" ""CO2"":""Upper limit"" ""HCN"":""Upper limit"" ""TiO"":""Upper limit"" ""NH3"":""Upper limit""}"""
TOI-1136 d,0.025,0.4128,12.51937,,"""G-B: High resolution visible""",2404.16732,"""{""H"":""Detection""}"""
TOI-1136 d,0.025,0.4128,12.51937,,"""G-B: High resolution IR""",2404.16732,"""{""He"":""Upper limit""}"""
TOI-1235 b,0.0186,0.15113,3.444717,37.8556,"""G-B: High resolution IR""",2302.01479,"""{""He"":""Upper limit""}"""
TOI-1259A b,0.441,1.022,3.47798,,"""G-B: High resolution IR""",2404.08736,"""{""He"":""Detection""}"""
TOI-1268 b,0.29,0.82,8.1577094,138.3357,"""G-B: High resolution IR""",2404.16732,"""{""He"":""Detection""}"""
TOI-1268 b,0.29,0.82,8.1577094,138.3357,"""G-B:Low resolution IR""",2307.09515,"""{""He"":""Detection""}"""
TOI-1420.01,0.40288734205255,1.0795377678571,6.9561134,,"""G-B:Low resolution IR""",2403.05614,"""{""He"":""Detection""}"""
TOI-1430 b,0.022,0.187,7.434162,,"""G-B: High resolution IR""",2307.05191,"""{""He"":""Detection""}"""
